"id","titulo","ano","issn","titulo_serie","editora","autor","url"
9780122212857,"Computer-Aided Molecular Design",1996,,,"Academic Press","Doucet, Jean-Pierre","http://www.sciencedirect.com/science/book/9780122212857"
9780120843701,"Carbon-13 NMR Spectroscopy of Biological Systems",1995,,,"Academic Press","Beckmann, Nicolau","http://www.sciencedirect.com/science/book/9780120843701"
9780127819105,"Origins of Life on the Earth and in the Cosmos (Second Edition)",2000,,,"Academic Press","Zubay, Geoffrey","http://www.sciencedirect.com/science/book/9780127819105"
9780121602451,"Modeling Methodology for Physiology and Medicine",2001,,"Biomedical Engineering","Academic Press","Carson, Ewart","http://www.sciencedirect.com/science/book/9780121602451"
9780444501028,"Molecular Mechanisms in Visual Transduction",2000,"1383-8121","Handbook of Biological Physics","North Holland","Stavenga, D.G.","http://www.sciencedirect.com/science/book/9780444501028"
9780444502841,"Neuro-Informatics and Neural Modelling",2001,"1383-8121","Handbook of Biological Physics","North Holland","Moss, F.","http://www.sciencedirect.com/science/book/9780444502841"
9780444894106,"NMR Spectroscopy and its Application to Biomedical Research",1996,,,"Elsevier Science","Sarkar, S.K.","http://www.sciencedirect.com/science/book/9780444894106"
9780444819758,"Structure and Dynamics of Membranes",1995,"1383-8121","Handbook of Biological Physics","North Holland","Lipowsky, R.","http://www.sciencedirect.com/science/book/9780444819758"
9780080426891,"Frontiers in Tissue Engineering",1998,,,"Pergamon","Patrick, C.W.","http://www.sciencedirect.com/science/book/9780080426891"
9780444824424,"Transport Processes in Eukaryotic and Prokaryotic Organisms",1996,"1383-8121","Handbook of Biological Physics","North Holland","Konings, W.N.","http://www.sciencedirect.com/science/book/9780444824424"
9780122567810,"Protein Physics",2002,,"Soft Condensed Matter, Complex Fluids and Biomaterials","Academic Press","Finkelstein, Alexei","http://www.sciencedirect.com/science/book/9780122567810"
9780121098407,"Biology in Physics",2000,,"Polymers, Interfaces and Biomaterials","Academic Press","Bogdanov, Konstantin","http://www.sciencedirect.com/science/book/9780121098407"
9780444510242,"Proteome Analysis",2004,,,"Elsevier Science","Speicher, David","http://www.sciencedirect.com/science/book/9780444510242"
9780124735569,"-- No Book Title available --",1996,"1080-8914","Techniques in Protein Chemistry","Academic Press","Marshak, Daniel","http://www.sciencedirect.com/science/book/9780124735569"
9780444873941,"Transition Metal Oxides",1989,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Kung, H.H.","http://www.sciencedirect.com/science/book/9780444873941"
9780444429728,"Physics of Solid Surfaces 1987",1988,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Koukal, J.","http://www.sciencedirect.com/science/book/9780444429728"
9781856172301,"Leak-Free Pumps and Compressors Handbook",1995,,,"Elsevier Science","Vetter, G.","http://www.sciencedirect.com/science/book/9781856172301"
9780122577451,"Polymer Colloids",1997,,,"Academic Press","Fitch, Robert","http://www.sciencedirect.com/science/book/9780122577451"
9780750678469,"Gas Turbine Engineering Handbook (Third Edition)",2005,,,"Gulf Professional Publishing","Boyce, Meherwan","http://www.sciencedirect.com/science/book/9780750678469"
9780444874665,"Zeolites: Facts, Figures, Future Part A - Proceedings of the 8th International Zeolite Conference",1989,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Jacobs, P.A.","http://www.sciencedirect.com/science/book/9780444874665"
9780444874658,"Structure and Reactivity of Surfaces",1989,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Morterra, C.","http://www.sciencedirect.com/science/book/9780444874658"
9780444880321,"Hydrotreating Catalysts,Proceedings of the Annual International AlChE Meeting",1989,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Anthony, R.G.","http://www.sciencedirect.com/science/book/9780444880321"
9780444881298,"Recent Advances in Zeolite Science,Proceedings of the 1989 Meeting of the British Zeolite Association",1990,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Klinowski, J.","http://www.sciencedirect.com/science/book/9780444881298"
9780444429353,"Methane Conversion,Proceedings of a Symposium on the Production of Fuels and Chemicals from Natural Gas",1988,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Bibby, D.M.","http://www.sciencedirect.com/science/book/9780444429353"
9780444418005,"The Control of the Reactivity of Solids",1979,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Boldyrev, V.V.","http://www.sciencedirect.com/science/book/9780444418005"
9780444882110,"Catalysts in Petroleum Refining 1989,Proceedings of the Conference on Catalysts in Petroleum Refining",1990,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Trimm, D.L.","http://www.sciencedirect.com/science/book/9780444882110"
9780444988003,"New Solid Acids and Bases",1989,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Tanabe, K.","http://www.sciencedirect.com/science/book/9780444988003"
9780444886941,"New Developments in Selective Oxidation",1990,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Centi, G.","http://www.sciencedirect.com/science/book/9780444886941"
9780444885920,"-- No Book Title available --",1990,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Misono, M.","http://www.sciencedirect.com/science/book/9780444885920"
9780444874139,"Photochemistry on Solid Surfaces",1989,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Matsuura, T.","http://www.sciencedirect.com/science/book/9780444874139"
9780444426826,"Catalytic Hydrogenation",1986,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Cervený, L.","http://www.sciencedirect.com/science/book/9780444426826"
9780444425126,"Adsorption and Catalysis on Oxide Surfaces: Proceedings of a Symposium, Brunel University, Uxbridge, June 28–29, 1984",1985,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Che, M.","http://www.sciencedirect.com/science/book/9780444425126"
9780444425683,"Zeolites Synthesis, Structure, Technology and Application,Proceedings of an International Symposium, organized by the “Boris Kidri�� Institute of Chemistry, Ljubljana, on behalf of the International Zeolite Association",1985,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Držaj, B.","http://www.sciencedirect.com/science/book/9780444425683"
9780444422040,"Heterogeneous Catalytic Reactions Involving Molecular Oxygen",1983,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Golodets, G.I.","http://www.sciencedirect.com/science/book/9780444422040"
9780444989819,"New Developments in Zeolite Science and Technology,Proceedings of the 7th International Zeolite Conference",1986,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Murakami, Y.","http://www.sciencedirect.com/science/book/9780444989819"
9780444429551,"Catalysis 1987,Proceedings of the 10th North American Meeting of the Catalysis Society",1988,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Ward, J.W.","http://www.sciencedirect.com/science/book/9780444429551"
9780444430007,"Heterogeneous Catalysis and Fine Chemicals,Proceedings of an International Symposium",1988,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Barrault, J.","http://www.sciencedirect.com/science/book/9780444430007"
9780444427083,"Metal Clusters in Catalysis",1986,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Gates, B.C.","http://www.sciencedirect.com/science/book/9780444427083"
9780444429193,"Innovation in Zeolite Materials Science,Proceedings of an International Symposium",1988,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Grobet, P.J.","http://www.sciencedirect.com/science/book/9780444429193"
9780444424495,"Catalysis by Acids and Bases",1985,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Imelik, B.","http://www.sciencedirect.com/science/book/9780444424495"
9780444423511,"Structure and Reactivity of Modified Zeolites,Proceedings of an International Conference",1984,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Kazansky, V.B.","http://www.sciencedirect.com/science/book/9780444423511"
9780444428141,"Synthesis of High-Silica Aluminosilicate Zeolites",1987,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Martens, J.A.","http://www.sciencedirect.com/science/book/9780444428141"
9780444421128,"Metal Microstructures in Zeolites,Proceedings of a Workshop",1982,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Jíru, P.","http://www.sciencedirect.com/science/book/9780444421128"
9780444424020,"Catalysis on the Energy Scene",1984,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Mahay, A.","http://www.sciencedirect.com/science/book/9780444424020"
9780444429131,"Keynotes in Energy-Related Catalysis",1988,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Kaliaguine, S.","http://www.sciencedirect.com/science/book/9780444429131"
9780444421630,"Adsorption on Metal Surfaces",1983,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Bénard, J.","http://www.sciencedirect.com/science/book/9780444421630"
9780123705365,"Activated Carbon Surfaces in Environmental Remediation",2006,"1573-4285","Interface Science and Technology","Academic Press","Bandosz, Teresa J.","http://www.sciencedirect.com/science/book/9780123705365"
9780444517333,"New Development and Application in Chemical Reaction Engineering",2006,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Rhee, Hyun-Ku","http://www.sciencedirect.com/science/book/9780444517333"
9780444517487,"Nanoporous Materials IV,Proceedings of the 4th International Symposium on Nanoporous Materials",2005,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Sayari, Abdel","http://www.sciencedirect.com/science/book/9780444517487"
9780444429537,"Characterization of Porous Solids,Proceedings of the IUPAC Symposium (COPS I), Bad Soden a. Ts.",1988,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Kral, H.","http://www.sciencedirect.com/science/book/9780444429537"
9780444428004,"Thin Metal Films and Gas Chemisorption",1987,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Wissmann, P.","http://www.sciencedirect.com/science/book/9780444428004"
9780444871466,"Successful Design of Catalysts Future Requirements and Development,Proceedings ofthe Worldwide Catalysis Seminars, July, 1988, on the Occasion of the 30th Anniversary of the Catalysis Society of Japan",1989,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Inui, T.","http://www.sciencedirect.com/science/book/9780444871466"
9780444871169,"Catalytic Processes under Unsteady-State Conditions",1989,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Matros, Y.S.","http://www.sciencedirect.com/science/book/9780444871169"
9780444430250,"Laboratory Studies of Heterogeneous Catalytic Processes",1989,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Christoffel, E.G.","http://www.sciencedirect.com/science/book/9780444430250"
9780444521804,"Electrorheological Fluids",2005,"1383-7303","Studies in Interface Science","Elsevier Science","Hao, Tian","http://www.sciencedirect.com/science/book/9780444521804"
9780444516053,"Catalytic Kinetics",2005,,,"Elsevier Science","Murzin, Dmitry","http://www.sciencedirect.com/science/book/9780444516053"
9780444516701,"Molecular Sieves: From Basic Research to Industrial Applications,Proceedings of the 3rd International Zeolite Symposium (3rd FEZA)",2005,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Cejka, Jiri","http://www.sciencedirect.com/science/book/9780444516701"
9780444517852,"Coal and Coal-Related Compounds",2004,"0167-2991","Studies in Surface Science and Catalysis","Elsevier Science","Kabe, Toshiaki","http://www.sciencedirect.com/science/book/9780444517852"
9780444516480,"Special Distillation Processes",2005,,,"Elsevier Science","Lei, Zhigang","http://www.sciencedirect.com/science/book/9780444516480"
9780444517159,"Surface Activity in Drug Action",2005,"1383-7303","Studies in Interface Science","Elsevier Science","Srivastava, R.C.","http://www.sciencedirect.com/science/book/9780444517159"
